Name,Established,Type of ownership,Number of housing units,Type,Adresse,Postal number
Nyt bofællesskab for seniorer på Vallensbæk Stationstorv,2017,Almene boliger,49,,,2625
 Lystoftegård - Andels Senior Bofællesskab ,2019,Andelsboliger,20,,,2750
Seniorbofællesskabet Laanshøj,2020,Ejerboliger,19,,,3520
Ekkodalen,2020,Almene boliger,25,,,2750
Jonshøj,2019,,24,,,3520
Seniorandelsboligforeningen Ved Søerne 1,2000,Andelsboliger,20,Et-plan,Ved Søerne,9530
Seniorandelsboligforeningen Ved Søerne 2,2000,Andelsboliger,20,Et-plan,Ved Søerne,9530
Tjørnen,2002,Andelsboliger,21,Tæt-lav,Tjørnehegnet 18,8541
Grønneparken,2004,Almene boliger,23,Etagebyggeri, Afdeling 57 Grønnegade 5-9 ,8600
Florahøj,2005,Andelsboliger,20,Tæt-lav,Florahøj 19,3480
Skibhus Skovly,2009,Etage,16,,Skibhus Skovly 2-22,5000
Vallensbæk Stationstorv,2017,Almene boliger,49,Etagebyggeri,Vallensbæk Stationstorv 3,2665
I.P. Schmidts Gård - Afd. 602,2017,Almene boliger,31,Etagebyggeri,Ved Landsoldaten 1,7000
Købmagergade Skole - Afd. 601,2017,Almene boliger,53,Etagebyggeri,"Købmagergade 65 ABDE,  Sjællandsgade 37,  Dalegade 58 - 62. ",7000
"""Blåkildevej""",2017,,13,,"Fælleshuset, Blåkildevej 67A",9220
Skovbrynet,2017,Almene boliger,18,,Hansensvej 2,9492
Seniorbofællesskabet Hjortefarmen,2018,Almene boliger,28,,Trevangsvej 161,3520
